run_id,tool,dbms,repeat_id,elapsed_min,risk_branches_hit,target_region_branch_coverage,risk_targets_hit,target_function_hit_rate,global_branches_hit,global_branch_coverage,risk_branches_total,global_branches_total,risk_targets_total
mysql_sqleek_wo_m1_r1,SQLeek-W/O-M1,MySQL,1,1440,1714.35022865853648,0.3725228658536585,749,0.5395590142671854,85621.48240522458218,0.26188424441257396,4602,326944,
mysql_sqleek_wo_m1_r2,SQLeek-W/O-M1,MySQL,2,60,1744.165015243902644,0.3790015243902439,741,0.5278858625162127,90054.846506589194178,0.2754442549995999,4602,326944,
mysql_sqleek_wo_m1_r2,SQLeek-W/O-M1,MySQL,2,180,1938.838033536585499,0.4213033536585366,785,0.5538261997405967,96835.700042471202323,0.2961843619778042,4602,326944,
mysql_sqleek_wo_m1_r2,SQLeek-W/O-M1,MySQL,2,300,1994.959984756097356,0.4334984756097561,821,0.5849546044098574,99092.630518948921235,0.30308747222444493,4602,326944,
mysql_sqleek_wo_m1_r2,SQLeek-W/O-M1,MySQL,2,480,2054.589557926829457,0.44645579268292684,850,0.6005188067444877,102019.697284920257516,0.3120402799406634,4602,326944,
mysql_sqleek_wo_m1_r2,SQLeek-W/O-M1,MySQL,2,600,2065.112423780487916,0.4487423780487805,861,0.6095979247730221,103073.199830115161603,0.3152625520887833,4602,326944,
mysql_sqleek_wo_m1_r2,SQLeek-W/O-M1,MySQL,2,720,2135.264862804878248,0.4639862804878049,894,0.642023346303502,104672.068544837908121,0.32015289635178473,4602,326944,
mysql_sqleek_wo_m1_r2,SQLeek-W/O-M1,MySQL,2,900,2152.802972560975377,0.46779725609756095,903,0.6459143968871596,105304.975040470759268,0.3220887217397192,4602,326944,
mysql_sqleek_wo_m1_r2,SQLeek-W/O-M1,MySQL,2,1200,2176.479420731707251,0.4729420731707317,916,0.6549935149156939,108104.253054541652091,0.33065067122975694,4602,326944,
mysql_sqleek_wo_m1_r2,SQLeek-W/O-M1,MySQL,2,1440,2194.017530487804834,0.4767530487804878,922,0.6575875486381323,109093.358118463904248,0.33367597545287236,4602,326944,
