bucket_id	reason	seed_count	raw_profile_count	raw_profile_bytes	bucket_profdata	cumulative_profdata	warning_count	merge_log
15	periodic_restart	3000	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000015.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000015.merge.log
16	periodic_restart	3200	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000016.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000016.merge.log
17	periodic_restart	3400	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000017.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000017.merge.log
18	periodic_restart	3600	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000018.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000018.merge.log
19	periodic_restart	3800	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000019.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000019.merge.log
20	periodic_restart	4000	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000020.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000020.merge.log
21	periodic_restart	4200	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000021.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000021.merge.log
22	periodic_restart	4400	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000022.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000022.merge.log
23	periodic_restart	4600	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000023.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000023.merge.log
24	periodic_restart	4800	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000024.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000024.merge.log
25	periodic_restart	5000	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000025.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000025.merge.log
26	periodic_restart	5200	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000026.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000026.merge.log
27	periodic_restart	5400	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000027.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000027.merge.log
28	periodic_restart	5600	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000028.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000028.merge.log
29	periodic_restart	5800	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000029.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000029.merge.log
30	periodic_restart	6000	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000030.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000030.merge.log
31	periodic_restart	6200	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000031.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000031.merge.log
32	periodic_restart	6400	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000032.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000032.merge.log
33	periodic_restart	6600	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000033.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000033.merge.log
34	periodic_restart	6800	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000034.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000034.merge.log
35	periodic_restart	7000	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000035.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000035.merge.log
36	periodic_restart	7200	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000036.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000036.merge.log
37	periodic_restart	7400	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000037.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000037.merge.log
38	periodic_restart	7600	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000038.profdata	/rq2_out/profdata/sqleek_mysql_r1_24h.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_24h_bucket_000038.merge.log
