tool,dbms,elapsed_min,mean_target_region_branch_coverage,std_target_region_branch_coverage,se_target_region_branch_coverage,ci95_target_region_branch_coverage,mean_risk_branches_hit,std_risk_branches_hit,mean_risk_targets_hit,std_risk_targets_hit,mean_global_branch_coverage,std_global_branch_coverage,se_global_branch_coverage,ci95_global_branch_coverage,mean_global_branches_hit,std_global_branches_hit
SQUIRREL,MySQL,480,0.280476,0.007378,0.003689,0.007231,1290.75,33.954627,520.25,5.965177,0.18025,0.002722,0.001361,0.002667,58931.5,889.873587
SQUIRREL,MySQL,600,0.280856,0.007539,0.003769,0.007388,1292.5,34.6939,520.25,5.965177,0.180306,0.002734,0.001367,0.002679,58950,893.841149
SQUIRREL,MySQL,720,0.28216,0.006181,0.00309,0.006057,1298.5,28.442925,522.5,6.027714,0.180611,0.002579,0.001289,0.002527,59049.75,843.170356
SQUIRREL,MySQL,900,0.282432,0.006162,0.003081,0.006039,1299.75,28.359302,522.5,6.027714,0.180659,0.002581,0.001291,0.00253,59065.5,843.976895
SQUIRREL,MySQL,1200,0.283409,0.006233,0.003117,0.006109,1304.25,28.686524,524.25,4.99166,0.181802,0.002807,0.001404,0.002751,59439,917.746515
SQUIRREL,MySQL,1440,0.283464,0.006294,0.003147,0.006168,1304.5,28.965497,524.25,4.99166,0.181852,0.002795,0.001398,0.002739,59455.5,913.855021
SQUIRREL,PostgreSQL,60,0.1875,0,0,0,600,0,2952.069767,123.428641,0.214442,0.004516,0.00202,0.003959,53506.2,1126.914682
SQUIRREL,PostgreSQL,180,0.2,0.017116,0.007655,0.015003,640,54.772256,3132.348837,123.428641,0.22915,0.003542,0.001584,0.003105,57176.2,883.830979
SQUIRREL,PostgreSQL,300,0.20625,0.017116,0.007655,0.015003,660,54.772256,3177.418605,123.428641,0.231699,0.003522,0.001575,0.003087,57812.2,878.83656
SQUIRREL,PostgreSQL,480,0.20625,0.017116,0.007655,0.015003,660,54.772256,3177.418605,123.428641,0.235145,0.00265,0.001185,0.002323,58672,661.200802
SQUIRREL,PostgreSQL,600,0.20625,0.017116,0.007655,0.015003,660,54.772256,3177.418605,123.428641,0.236403,0.002487,0.001112,0.00218,58985.8,620.473368
SQUIRREL,PostgreSQL,720,0.20625,0.017116,0.007655,0.015003,660,54.772256,3177.418605,123.428641,0.237183,0.002387,0.001068,0.002093,59180.4,595.684732
SQUIRREL,PostgreSQL,900,0.20625,0.017116,0.007655,0.015003,660,54.772256,3177.418605,123.428641,0.237885,0.002269,0.001015,0.001989,59355.6,566.176033
SQUIRREL,PostgreSQL,1200,0.20625,0.017116,0.007655,0.015003,660,54.772256,3177.418605,123.428641,0.240238,0.00318,0.001422,0.002788,59942.8,793.490202
SQUIRREL,PostgreSQL,1440,0.20625,0.017116,0.007655,0.015003,660,54.772256,3177.418605,123.428641,0.24101,0.003123,0.001397,0.002737,60135.4,779.238924
SQUIRREL,SQLite,60,0.562678,0.009872,0.004415,0.008654,1580,27.721833,599.8,5.630275,0.29294,0.00441,0.001972,0.003865,18319.2,275.913392
SQUIRREL,SQLite,180,0.56802,0.011682,0.005224,0.01024,1595,32.802439,602.2,7.155418,0.297385,0.005166,0.00231,0.004528,18597.4,323.165283
SQUIRREL,SQLite,300,0.568732,0.010251,0.004584,0.008985,1597,28.783676,601.2,6.457554,0.298242,0.004701,0.002102,0.00412,18651,294.047615
SQUIRREL,SQLite,480,0.571652,0.011901,0.005322,0.010431,1605.2,33.417062,602.6,7.602631,0.300152,0.005157,0.002306,0.00452,18770.4,322.615561
SQUIRREL,SQLite,600,0.573077,0.010829,0.004843,0.009492,1609.2,30.40888,603,7.211103,0.30073,0.004636,0.002073,0.004063,18806.6,289.997069
SQUIRREL,SQLite,720,0.575214,0.012086,0.005405,0.010594,1615.2,33.936706,603.4,7.733046,0.302259,0.004459,0.001994,0.003909,18902.2,278.961825
SQUIRREL,SQLite,900,0.575142,0.010346,0.004627,0.009069,1615,29.051678,602.4,7.300685,0.3024,0.003743,0.001674,0.003281,18911,234.225319
SQUIRREL,SQLite,1200,0.577778,0.011381,0.00509,0.009976,1622.4,31.957785,603.2,7.155418,0.30318,0.003891,0.00174,0.003411,18959.8,243.546094
SQUIRREL,SQLite,1440,0.579558,0.012126,0.005423,0.010628,1627.4,34.048495,604.6,8.11172,0.304472,0.004837,0.002163,0.00424,19040.6,302.584368
